generation,avg_fitness,stdev_fitness,best_fitness,avg_adjusted_fitness,mean_genetic_distance,std_genetic_distance,gen_time
0,0.0,0.0,0.0,0.0,1.715,0.699,60.013
1,0.0,0.0,0.0,0.0,1.922,0.76,60.022
2,3.23333,40.71501,500.0,0.033,1.955,0.789,60.015
3,30.0,118.74342,500.0,0.049,1.924,0.59,60.018
4,198.4,236.36717,480.0,0.374,1.928,0.411,60.053
5,353.33333,227.64495,500.0,0.706,1.898,0.329,60.059
0,0.0,0.0,0.0,0.0,1.205,0.511,60.014
1,0.0,0.0,0.0,0.0,1.216,0.449,60.02
2,0.0,0.0,0.0,0.0,1.398,0.47,60.013
3,3.33333,40.68852,500.0,0.007,1.622,0.467,60.012
4,33.33333,124.72191,500.0,0.067,1.674,0.42,60.027
5,169.5,237.22827,500.0,0.358,1.682,0.359,60.014
6,336.56667,234.6438,500.0,0.683,1.734,0.349,60.013
7,323.33333,239.00256,500.0,0.647,2.015,0.415,60.025
8,326.66667,237.95424,500.0,0.638,2.017,0.401,60.02
9,708.3,4432.84084,54745.0,0.011,1.957,0.392,60.025
10,724.86667,4429.86693,54730.0,0.012,2.027,0.377,60.022
11,717.5,4423.27849,54640.0,0.012,2.082,0.446,60.05
12,754.8,4419.14803,54640.0,0.012,2.09,0.455,60.028
13,1086.2,6239.08128,54865.0,0.016,2.04,0.477,60.016
14,1080.63333,6248.55067,54940.0,0.016,2.088,0.48,60.062
15,1051.86667,6234.86211,54790.0,0.016,2.173,0.509,60.052
16,1413.1,7636.1299,54985.0,0.021,2.169,0.522,60.027
17,1002.93333,6275.79225,54985.0,0.015,2.109,0.445,60.02
18,1053.23333,6274.79501,55030.0,0.015,2.143,0.486,60.024
19,1395.76667,7657.29797,55000.0,0.019,2.307,0.51,60.025
20,1038.43333,6266.21529,54910.0,0.014,2.419,0.582,60.078
21,1804.06667,8788.11029,54970.0,0.021,2.373,0.595,60.031
22,44.4,227.59681,2005.0,0.023,2.316,0.624,2.835
23,1060.3,6273.8717,55000.0,0.02,2.151,0.673,60.027
24,1771.63333,8784.49332,54940.0,0.023,2.112,0.658,60.027
25,1068.4,6262.37341,54910.0,0.015,2.084,0.617,60.027
26,1108.6,6258.73539,54925.0,0.016,2.14,0.595,60.062
27,1113.53333,6270.27797,55030.0,0.017,2.137,0.579,60.03
28,1126.63333,6263.20481,54985.0,0.017,2.15,0.566,60.021
29,1098.83333,6260.05784,54925.0,0.016,2.167,0.617,60.029
30,1109.36667,6263.8641,54970.0,0.017,2.194,0.62,60.041
31,1075.86667,6263.11722,54925.0,0.016,2.235,0.577,60.031
32,1100.23333,6242.39869,54775.0,0.016,2.247,0.64,60.074
33,1093.76667,6248.53175,54820.0,0.014,2.443,0.576,60.076
34,1441.26667,7616.7638,54865.0,0.017,2.492,0.566,60.035
35,1054.6,6258.92114,54865.0,0.013,2.413,0.588,60.031
36,1109.96644,6255.33323,54715.0,0.013,2.409,0.614,60.017
37,1098.23333,6254.89955,54880.0,0.013,2.447,0.602,60.039
38,1100.7,6245.82746,54805.0,0.013,2.442,0.591,60.092
39,1482.56667,7618.73935,54820.0,0.016,2.496,0.638,60.039
40,1451.16667,7615.92792,54865.0,0.014,2.546,0.699,60.027
41,1070.63333,6248.10039,54790.0,0.012,2.658,0.681,60.028
42,1100.66225,6231.73404,54865.0,0.014,2.629,0.721,60.081
43,,,,,,,
0,0.0,0.0,0.0,0.0,1.198,0.509,60.012
1,40.0,135.6466,500.0,0.08,1.631,0.485,60.012
2,109.7,207.29305,500.0,0.242,2.03,0.49,60.011
3,226.2,198.98633,500.0,0.463,1.841,0.44,60.005
4,270.4,168.59371,500.0,0.541,1.936,0.565,60.007
5,261.2,168.36437,500.0,0.489,2.145,0.576,60.018
6,242.2,183.59782,500.0,0.528,2.234,0.689,60.018
7,247.0,182.26629,500.0,0.474,2.36,0.86,60.02
8,257.3,183.13167,525.0,0.519,2.159,0.497,60.013
9,263.8,170.5361,525.0,0.504,2.34,0.581,60.019
10,256.7,177.79654,525.0,0.42,2.242,0.729,60.012
11,237.7,191.51556,525.0,0.421,2.529,0.667,60.015
12,256.3,178.37267,525.0,0.43,2.312,0.736,60.02
13,270.6,172.86596,525.0,0.494,2.416,0.76,60.015
14,253.8,177.12865,525.0,0.435,2.562,0.697,60.045
15,261.12245,172.40574,525.0,0.469,2.498,0.716,60.006
16,216.93878,200.73288,525.0,0.389,2.658,0.806,60.01
17,257.64706,183.16754,525.0,0.499,2.627,0.732,60.015
18,276.2,160.50097,575.0,0.453,2.476,0.841,60.007
19,243.57143,183.86719,575.0,0.41,2.432,0.824,60.011
20,255.4,182.59748,575.0,0.424,2.411,0.83,60.021
21,242.14286,181.81343,575.0,0.402,2.367,0.787,60.021
22,265.0,175.03644,575.0,0.447,2.267,0.822,60.02
23,229.5,190.98233,575.0,0.38,2.344,0.848,60.015
24,232.54902,189.40405,575.0,0.434,2.494,0.891,60.011
25,242.64706,192.6374,575.0,0.43,2.456,0.865,60.013
26,246.56863,186.08318,575.0,0.417,2.426,0.877,60.02
27,250.6,189.10484,580.0,0.435,2.486,0.889,60.018
28,245.3,192.92592,580.0,0.342,2.231,0.85,60.012
